f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,label
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08215729540379507,0.1641119036778469,0.5017963839940704,0.5018989043234721,0.5062328563226944,0.497599885177231,0.5110809287886197,0.5049619839430382,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08222211639203736,0.1641119036778469,0.5018989043234721,0.5062328563226944,0.497599885177231,0.5110809287886197,0.5049619839430382,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08347686552158406,0.1641119036778469,0.5062328563226944,0.497599885177231,0.5110809287886197,0.5049619839430382,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08147006064069595,0.1639576061111954,0.497599885177231,0.5110809287886197,0.5049619839430382,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0814297128827084,0.1634567713866545,0.5110809287886197,0.5049619839430382,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08123657279529273,0.1634567713866545,0.5049619839430382,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08146476913145168,0.1634567713866545,0.5022991133130621,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08164071181382349,0.1641119036778469,0.5114955665653107,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08041903461705352,0.1641119036778469,0.4863317618612223,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0816539405869342,0.1644597055698892,0.5014888230058656,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08077025854314168,0.1644597055698892,0.5003193318408398,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08025632070779226,0.1644597055698892,0.5035445454628299,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08115124720872885,0.1639576061111954,0.5031447161781636,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.5049335060737599,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08096339863055746,0.1629546719279608,0.492459819624973,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.5049335060737599,0.5063425910456465,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08127229048269152,0.1629546719279608,0.5112320513482561,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.5049335060737599,0.5063425910456465,0.4962063681072165,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08152297573313855,0.1629546719279608,0.4950292828437164,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.5049335060737599,0.5063425910456465,0.4962063681072165,0.5087848531149473,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08193108338360272,0.1638033085445439,0.4978782088863102,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.5049335060737599,0.5063425910456465,0.4962063681072165,0.5087848531149473,0.5041163810779367,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08252108666433844,0.1638033085445439,0.5086291740962262,0.500359580562753,0.5041573892096973,0.5037180706129651,0.5049335060737599,0.5063425910456465,0.4962063681072165,0.5087848531149473,0.5041163810779367,0.497629881866204,0.0
